plant_name,min_temp_f,max_temp_f,min_humidity,max_humidity,min_light_lux,max_light_lux
Aeonium,50,80,30,50,5000,15000
African Mask Plant,60,80,60,80,2500,7500
African Violet,60,80,50,70,2500,7500
Agave,50,90,20,40,10000,25000
Aglaonema Silver Bay,60,80,50,70,500,2500
Air Plant,50,90,40,60,2500,10000
Aloe Vera,55,80,30,50,5000,15000
Aluminum Plant,60,80,50,70,2500,7500
Amaryllis,60,80,40,60,5000,15000
Angel Wing Begonia,60,75,50,70,2500,10000
Anthurium,60,85,60,80,2500,10000
Areca Palm,60,80,40,60,2500,10000
Arrowhead Plant,60,80,40,60,1000,5000
Asparagus Fern,55,80,40,60,2500,10000
Aster,55,75,40,60,5000,15000
Baby Rubber Plant,60,80,40,60,2500,10000
Baby Tears,55,75,60,80,2500,7500
Bamboo Palm,60,80,50,70,1000,5000
Banana Plant,60,85,50,70,5000,15000
Basil,60,85,40,60,5000,15000
Bay Laurel,55,80,40,60,5000,15000
Bird of Paradise,60,85,40,60,5000,15000
Birds Nest Fern,60,80,60,80,1000,5000
Black Eyed Susan Vine,60,85,40,60,5000,15000
Bleeding Heart Vine,60,80,50,70,2500,10000
Blood Leaf,60,85,50,70,5000,15000
Blue Star Fern,60,80,50,70,1000,5000
Bonsai Ficus,60,80,40,60,2500,10000
Boston Fern,55,75,60,80,2500,7500
Bougainvillea,60,90,30,50,10000,25000
Boxwood,55,80,40,60,5000,15000
Bromeliad,55,80,50,70,2500,10000
Bunny Ear Cactus,50,90,20,40,10000,25000
Burros Tail,55,85,20,40,5000,15000
Button Fern,55,75,60,80,1000,5000
Cactus,60,90,20,40,10000,25000
Caladium,65,85,50,70,2500,7500
Calathea,60,80,60,80,1000,5000
Cape Primrose,55,75,50,70,2500,7500
Cardinal Flower,55,80,50,70,2500,10000
Carnation,55,75,40,60,5000,15000
Cast Iron Plant,45,85,30,50,500,2500
Chain of Hearts,55,80,30,50,2500,10000
Chamomile,55,75,40,60,5000,15000
Chinese Evergreen,60,80,50,70,500,2500
Chinese Money Plant,55,80,40,60,2500,10000
Christmas Cactus,55,80,50,70,2500,10000
Chrysanthemum,55,75,40,60,5000,15000
Cilantro,50,75,40,60,5000,15000
Cineraria,45,65,50,70,2500,7500
Citronella,55,85,40,60,5000,15000
Clematis,55,80,40,60,5000,15000
Coffee Plant,60,80,50,70,2500,10000
Coleus,60,80,50,70,2500,10000
Coral Bells,55,80,40,60,2500,10000
Corn Plant,60,80,40,60,1000,5000
Creeping Fig,55,80,50,70,2500,10000
Croton,60,85,40,60,5000,15000
Crown of Thorns,55,85,30,50,5000,15000
Cyclamen,50,65,50,70,2500,7500
Daffodil,45,65,40,60,5000,15000
Dahlia,55,80,40,60,5000,15000
Desert Rose,60,90,30,50,10000,25000
Dieffenbachia,60,80,50,70,1000,5000
Dill,55,75,40,60,5000,15000
Donkey Tail,55,85,20,40,5000,15000
Dracaena,60,80,40,60,1000,5000
